t[seg]	i[mA]
0.000	17.03
0.083	15.08
0.683	14.17
5.733	13.05
18.966	12.0
37.933	11.03
67.916	10.07
103.116	9.03
141.900	8.07
194.700	7.07
273.733	6.01
388.300	5.01
572.900	4.01
957.916	3.04
