t[seg]	i[mA]
0.000	16.08
0.083	14.47
0.683	12.59
5.733	12.15
18.966	11.26
37.933	10.33
67.916	9.51
103.116	8.63
141.900	7.87
194.700	7.06
273.733	6.24
388.300	5.33
572.900	4.43
957.916	3.40
